year,survey,transect,total_sA_times_area_above3,total_sA_times_area_below3,total_kg_above3,total_kg_below3,total_area_nmi2
1999,199909,14,1378966.51921,515168.6059,2977313156385.39,5424935519281.701,3390
1999,199909,15,918045.04664,508533.4523,718473452318.0426,3195241372955.5757,3590
1999,199909,16,978512.60294,176179.4167,697276221664.3347,308948063667.2647,3030
1999,199909,17,860739.21562,241327.8641,724558954791.3207,1007849069265.1335,2970
1999,199909,18,2217271.63821,415960.9569,9668161089456.25,2550238375298.628,3090
1999,199909,19,1764650.7083,645822.1288,5215640990632.379,3385806642108.629,6690
1999,199909,20,1874814.4911,499131.0019,3560305765288.6714,2379105705116.7163,5390
1999,199909,21,4420518.89871,983091.8916,22294412393230.945,12560608135153.092,8110
1999,199909,22,3148265.41225,1302141.4248,101270390193354.11,52523148513266.15,7510
1999,199909,23,1673862.66168,518150.5829,3860665163994.6963,2145372655598.1836,6180
1999,199909,24,892591.01476,473645.3398,1498593455948.743,1142170064236.0188,4520
1999,199909,25,983529.52364,409838.2096,1531250624517.964,858486607170.7106,4530
1999,199909,26,3257287.96812,402688.817,4571505133811.665,1361872899454.0122,3800
1999,199909,27,5784541.17009,980145.6547,28688988789555.832,6505096323035.6875,3390
1999,199909,28,2140323.97415,528977.9536,13582739801496.922,3075427801579.1826,2830
1999,199909,29,32154.13119,128992.1697,98754227989.18315,596060543864.6332,2340
2000,200009,1,5579.929,10814.547,9566100547.200737,20067685049.47921,1000
2000,200009,2,0,0,0,0,1210
2000,200009,3,60449.87919,36135.7133,41058828389.9023,23484929262.692562,1400
2000,200009,4,46585.74026,175893.446,190401927226.63766,726565077598.9313,1670
2000,200009,5,130994.18847,186117.2551,402556848617.0182,757319806489.6661,2050
2000,200009,6,264650.59589,245473.108,1008154028938.5396,1393960418037.0962,2390
2000,200009,7,1121966.72734,444714.5775,2916730126643.5537,2586428362250.5254,2510
2000,200009,8,1159646.79931,751486.9523,7628293860005.417,5651313259404.703,2730
2000,200009,9,967504.93713,232642.4586,844582016888.4121,379556783801.42883,3700
2000,200009,10,783097.47094,187194.4046,305758404507.95465,321370077502.6483,3660
2000,200009,11,514291.3585,212129.607,529629490210.0171,434198789809.87506,4280
2000,200009,12,548549.77782,141868.5687,383692502905.128,203450394967.7756,3850
2000,200009,13,796477.43917,96562.7534,178110840052.58267,76872781006.43031,4050
2000,200009,14,591310.83974,286935.7587,699399736237.4095,516526146430.37537,3380
2000,200009,15,588656.68513,232414.78340000001,1485208321970.3713,1226843363930.9602,3590
2000,200009,16,923501.2406499999,107484.1586,407314621586.0262,57529043602.95346,3020
2000,200009,17,1058924.28566,129078.7879,761225863270.5367,146752144966.24066,2990
2000,200009,18,2233917.4442,151112.9942,1232688655467.735,155091922034.8005,3110
2000,200009,19,1958138.62864,241342.3817,1542125393604.3547,296304601811.67676,6680
2000,200009,20,3652152.20423,324569.0873,3438835491707.8164,487526079778.17126,5580
2000,200009,21,3540792.78828,351379.7294,2790666109239.4683,594788162674.3267,8120
2000,200009,22,2617374.79941,679960.4645,6489867342315.9,3148772445330.7344,7520
2000,200009,23,1915121.1036399999,570447.3844,2889002746895.9116,2054089785067.338,6250
2000,200009,24,971191.9781,485869.4291,1579060828293.7727,1422352440809.8755,4490
2000,200009,25,1308906.68392,209167.7277,664400204254.161,228414466217.44247,4540
2000,200009,26,2337701.44456,219015.8473,1250403740768.9685,372944828247.7488,3800
2000,200009,27,818445.05253,201537.4588,530426590154.51025,1273328909206.6445,3390
2000,200009,28,2370230.48619,79600.2362,625200370141.6846,50716638859.32787,2840
2000,200009,29,355929.98442,92885.5859,596984243704.2494,354652891343.35443,2340
2002,200208,2,51690.717599999996,43572.9012,59669190534.24688,134132713447.03624,1200
2002,200208,3,83586.9148,68414.9636,116399868467.31467,271648316503.56274,1400
2002,200208,4,104289.2268,128135.1488,109661259436.35855,219382777595.14355,1740
2002,200208,5,324570.95650000003,504027.28750000003,7096647033242.04,11737242520068.768,2050
2002,200208,6,396669.99955,165972.5681,1015288904024.602,542689334593.6852,2380
2002,200208,7,883319.84908,554983.5956,3073411116590.087,10840301219691.137,2500
2002,200208,8,3391808.93599,645068.802,29572513326752.33,10440823624668.611,2730
2002,200208,9,1548400.4616,157875.91700000002,1106940662427.4744,372323980618.63403,3710
2002,200208,10,1368768.83012,472268.1976,25460824219397.56,12420513036716.332,3630
2002,200208,11,1741755.07339,92267.5776,612410626804.6935,54808783184.03085,4280
2002,200208,12,1221010.6105,81058.3059,264932147268.91553,70735722157.25827,3890
2002,200208,13,1034618.94508,143576.7145,329870791314.8389,234588630413.62006,3860
2002,200208,14,1302450.8409,287491.2443,2333082685973.997,4995984028271.047,3480
2002,200208,15,953877.9466,100180.8056,227093050246.57764,64243936537.99747,3600
2002,200208,16,721764.8181,171278.0247,440423983415.73193,161416177732.30063,3100
2002,200208,17,988810.27897,193585.465,587426050321.6431,273351313558.5828,4590
2002,200208,18,2046973.9586,368132.1627,1724358123418.6292,2634369439119.8296,4950
2002,200208,19,2448707.37015,540384.3942,2636899491823.5615,1475111459580.3496,5550
2002,200208,20,2307953.71641,772003.4366,8378675430890.393,3400529565345.292,4290
2002,200208,21,1434053.37803,908363.8877,6605330170891.098,5096640459205.676,5620
2002,200208,22,3615396.178,638425.1127,3764338807890.824,1549632391405.7424,6120
2002,200208,23,4518493.26656,612323.975,8204249784692.366,2257238554010.917,4770
2002,200208,24,4027329.28905,852902.5424,15917270130306.787,5166951073264.425,3360
2002,200208,25,2647296.66913,346909.5872,4187193997678.097,947473944697.8225,4540
2002,200208,26,1380867.97428,65370.8432,199816492057.49594,17384075013.272873,3790
2002,200208,27,325219.81815,65151.0292,83170893787.90765,56790555073.205734,3410
2002,200208,28,946784.16931,63981.5179,120268108132.62648,21754516785.054993,2850
2002,200208,29,93830.31906000001,6873.6182,22470646854.305958,2779940608.4189887,1910
2004,200408,1,0,41140.8499,0,18764881151.50832,1230
2004,200408,2,0,162962.85885,0,421784228110.0359,1340
2004,200408,3,17388.7122,174787.5116,68306777217.06488,320192536994.2442,1740
2004,200408,4,294151.96171,314785.9067,1508353420794.2302,1276669730552.7354,1950
2004,200408,5,196743.89205,224087.97207,219770076032.79068,470609222930.929,2170
2004,200408,6,329740.0212,186646.40603,1045069565925.7417,453263792279.44446,2440
2004,200408,7,1176873.34667,148636.79478,828462718325.6025,115002700154.0255,2680
2004,200408,8,1757172.41081,309797.67945,1978966036461.325,459855329232.8086,3520
2004,200408,9,1228851.3207,327293.56979,836172711849.0413,2044850021482.0159,3640
2004,200408,10,1584325.49493,418272.24605,2419804085349.344,1415599579699.0078,4360
2004,200408,11,671019.86028,344106.55886,1057365976745.289,2133065628072.17,3770
2004,200408,12,557230.28001,549851.25619,1355830879407.6965,3080781016074.682,4190
2004,200408,13,576639.12161,749348.83861,1319499737333.3738,3318896822541.202,3440
2004,200408,14,574397.46686,1168075.63819,1173435150302.6873,9574950931765.951,3660
2004,200408,15,477583.92842,644710.3838899999,3732190052402.567,3281649251474.1885,3080
2004,200408,16,506095.95762,729508.95328,1397602608413.8567,2215815171966.514,4770
2004,200408,17,1390796.88607,344467.31067,2084024771783.2102,591556895086.378,5020
2004,200408,18,1218602.78419,388343.13796,1646646718323.0886,716630079857.8959,4710
2004,200408,19,982517.76459,259181.15645,1005092830807.4644,403373294508.49133,4310
2004,200408,20,3488467.7202,346988.03275,3425368155263.9727,563080489119.8422,5760
2004,200408,21,1551302.28472,280598.58304,730248195518.6825,521170228365.8407,5450
2004,200408,22,1977638.24176,134113.41993,206387984483.45258,532831983552.99695,4870
2004,200408,23,3663921.1117,85167.00351,756696608798.6871,46928187677.80107,3880
2004,200408,24,4491830.51155,127990.96654,1362104561363.5005,68049163216.86839,4650
2004,200408,25,3166992.63069,179929.49166,1474650305512.0657,266752164060.21527,3840
2004,200408,26,2213399.36928,81354.20934,297700766328.30334,82032347472.13297,3480
2004,200408,27,612921.90113,168971.15947,548851322540.6903,222865546744.6337,2830
2004,200408,28,146218.40858,165827.33777,390689139840.4593,1196941822962.2717,2080
2006,200608,1,11918.91017,5988.92018,673736940.6542953,1703119517.5397444,1010
2006,200608,2,24340.4577,18966.20496,6355122524.042024,10409675590.591219,1200
2006,200608,3,74403.36865,62150.72585,117021354831.21187,130874631490.42668,1470
2006,200608,4,65452.27733,54400.3264,33858643948.582104,59496527836.69696,1810
2006,200608,5,78585.84137,75682.12419,77816240232.12239,78011365255.98097,2010
2006,200608,6,67474.53068,32414.72034,31894284722.145645,25264421467.692924,2250
2006,200608,7,476908.22283,33494.85148,121242944069.12958,15647822930.819683,2660
2006,200608,8,407471.86884,55388.23869,139486177616.27713,65290345957.49017,3370
2006,200608,9,255381.93479,15140.87245,8281941472.015486,3637565765.733265,3490
2006,200608,10,258338.88392,82235.60793,15317182585.158487,87118927280.08401,4030
2006,200608,11,351191.69519,96846.7878,248241894880.87662,380819785342.0736,3340
2006,200608,12,389080.26877,61963.26536,97339754117.0381,69810160245.9839,3350
2006,200608,13,394555.35714,173534.58247,315045552621.64825,335756018802.5882,2990
2006,200608,14,487729.66374,275602.38409,1860437771362.4995,1431578780121.6064,2890
2006,200608,15,274469.31204,247737.02694,405390630158.256,457753710632.04895,2930
2006,200608,16,455438.1273,172690.27232,344642988715.6046,123150177778.10579,4960
2006,200608,17,782186.15004,312890.7426,668798456406.1912,578124619338.1376,4690
2006,200608,18,676875.3491999999,514681.31183,1155269416806.302,2029937849966.1243,4620
2006,200608,19,526908.49083,405111.61289,669496528768.5665,761961652541.4419,4190
2006,200608,20,923014.73783,216990.02686,444417257722.17706,305279588084.31134,5680
2006,200608,21,743118.3101,291609.28362,778971237601.9056,662076103273.5752,4840
2006,200608,22,911630.42048,55657.36514,157950295137.18036,17373864731.918,3660
2006,200608,23,821733.66634,123205.25741,377094837996.83575,125524774937.57999,3640
2006,200608,24,2090608.8225,174044.32826,1238726859097.758,481661175675.20374,3910
2006,200608,25,2534825.79252,108007.31401,537540362214.5468,47058624126.69967,3650
2006,200608,26,1618189.14044,145821.04926,1195516132761.9075,561604563034.3309,3250
2006,200608,27,1026689.33644,245742.00222,971784590857.6654,1208067356235.796,2720
2006,200608,28,62123.06341,25808.74411,74610583184.78458,45295250336.93216,980
2007,200707,1,0,11371.99289,0,4361284916.881412,1020
2007,200707,2,0,23105.06331,0,21315116248.81528,1150
2007,200707,3,0,24456.06602,0,38156697641.323746,1330
2007,200707,4,0,23126.72372,0,19307357528.60942,1680
2007,200707,5,1536.66125,83510.25551,2217977425.747142,105105488169.80167,1980
2007,200707,6,45269.79282,38291.86459,22519197929.359795,16344480030.285593,2240
2007,200707,7,77753.384,157013.67168,370647099379.4037,1538900321629.5356,2360
2007,200707,8,143342.20977,317088.3709,1018974483335.624,4687748406514.778,3090
2007,200707,9,398730.18275,99929.30318,426835812216.17084,181321499395.6569,3450
2007,200707,10,158340.13951,49124.17455,78885683937.48573,68497192466.834335,3810
2007,200707,11,264496.26409,61735.38935,23872213011.890366,26441523896.179882,3500
2007,200707,12,350334.7377,13449.83837,14366594269.734314,1955604717.6899765,3360
2007,200707,13,256583.3009,48887.7722,24538702906.73473,69895945110.68936,3100
2007,200707,14,281040.73428,57828.41008,152495358022.61066,60208966619.96534,3010
2007,200707,15,187674.14996,324322.66035,403290855641.9671,5092387153146.56,2800
2007,200707,16,145170.03225,432963.48430999997,639373299036.478,1311593218198.603,4600
2007,200707,17,342851.57955,761415.0808,1641818647287.4922,4891254219870.092,4780
2007,200707,18,857487.40383,175553.4794,608113743238.3522,393388728200.76917,4620
2007,200707,19,2174540.06066,351812.67654,1108148512176.7605,1074439350373.8567,4290
2007,200707,20,583804.94914,408960.72102,1082752175496.0991,1181988666678.1882,5590
2007,200707,21,1072279.16585,795015.32042,3781440434789.4946,3968633617777.943,5450
2007,200707,22,818809.34664,195729.8671,693423174792.3182,379059368196.9126,4800
2007,200707,23,1245684.47442,436345.34454,1708492571547.3735,868064341728.6704,3430
2007,200707,24,2307746.13652,242080.03862,1613717491066.1536,419763288494.42706,4670
2007,200707,25,3422242.81742,125661.02916,1336197049479.6687,70743473318.40715,3920
2007,200707,26,2164470.80045,686809.48438,1924183814525.1797,2168181468009.9624,3550
2007,200707,27,3254397.54408,701700.04427,8559011847422.78,4300581299058.3003,2990
2007,200707,28,568096.38503,200126.29771,950984376690.8267,543210554895.43616,2270
2008,200809,1,0,10744.03699,0,6552280904.130373,1160
2008,200809,2,0,10423.76457,0,4751349836.697348,1380
2008,200809,3,0,9964.94315,0,5278635183.017496,1590
2008,200809,4,0,26961.55679,0,14248720310.009686,1910
2008,200809,5,42499.779,79546.64239,39923914788.35035,50353074022.18307,2430
2008,200809,6,34001.411,83369.74741,123981116649.35168,524770816658.671,2440
2008,200809,7,267755.57887,206134.68364,2485823441400.766,3644510175997.195,2680
2008,200809,8,88165.14602,187442.96353,551302044414.6891,685976551209.2546,3700
2008,200809,9,145433.7048,39034.80359,7746118551.257684,4919834465.366538,3620
2008,200809,10,112831.02278,40650.77355,3866186597.927507,14927441255.396318,4290
2008,200809,11,36835.05244,93238.0806,5365410915.271933,153430612570.68048,3900
2008,200809,12,38426.15769,91421.14453,31579758582.01694,78096133192.31345,3620
2008,200809,13,44539.07255,112602.47363000001,27473029523.698536,187503219597.5383,3420
2008,200809,14,86339.2262,168859.691,113332751905.68619,331766670789.0568,3710
2008,200809,15,26872.27858,100154.69445,13371753693.710678,80688662899.8026,3120
2008,200809,16,98319.2787,268394.19011,50642001136.12866,598909110178.4498,3570
2008,200809,17,141804.67202,633646.55594,300887071000.1722,1565541512595.2166,3840
2008,200809,18,269721.20969,603501.75061,1108491361809.0408,2351196693439.2773,4440
2008,200809,19,155027.97578,525306.11724,390386008903.7689,1436195736188.1472,4120
2008,200809,20,491520.36668,667521.75317,1616312747884.6873,2796126636429.489,4540
2008,200809,21,1303235.27022,251345.75522,858107823566.26,675156930116.4108,5420
2008,200809,22,2003603.36609,224830.13074,244452244705.7934,92715399126.37202,5190
2008,200809,23,269347.02677,109800.99084,80414834750.68996,79537336212.43953,3430
2008,200809,24,1336429.37482,104819.28206,303646085759.73175,49989459840.762665,4610
2008,200809,25,3421533.56164,504561.29561,1847050536766.5627,928160754451.3617,3870
2008,200809,26,1954842.43114,162082.85237,618612954448.9559,232758634134.20294,3480
2008,200809,27,682456.81686,323351.8185,1186744205681.2522,1492554998675.8806,2910
2008,200809,28,80822.56555,53466.80409,433101467395.5356,176503318388.77396,2390
2009,200909,1,0,81736.67508,0,323064271224.47156,1220
2009,200909,2,0,22973.45765,0,25415371183.521084,1400
2009,200909,3,0,58893.09211,0,190564648525.9924,1740
2009,200909,4,0,52343.04918,0,47161726559.00592,1920
2009,200909,5,2637.16919,146487.83777,8207674958.531799,439559454850.9932,2430
2009,200909,6,92750.40622,93715.24258,102976724177.95982,180657345300.9007,2530
2009,200909,7,81984.74888,501166.32112,2027022963963.8477,11561409335849.78,2740
2009,200909,8,73091.56033,70662.15396,55106309645.72233,41069007850.36271,3710
2009,200909,9,279119.44338,93275.12517,11148199388868.668,1305475456501.7205,3660
2009,200909,10,38258.57813,41175.71989,55479670217.02832,50707148341.880516,4300
2009,200909,11,9868.01722,17646.3199,311164347.1719231,1210175307.2696104,3890
2009,200909,12,5331.1877700000005,47145.34097,7255140554.0088825,30373174951.352184,3140
2009,200909,13,23073.06025,29856.79147,17760343751.831356,16495582847.620129,2530
2009,200909,14,106017.92117,95300.71907,342183219635.67267,264944231089.37527,2730
2009,200909,15,1017.13396,62679.70683,6190651.310702185,112659057951.89845,3050
2009,200909,16,25840.3481,79910.31291,30389920506.56551,99985822378.39587,3640
2009,200909,17,470042.5784,261162.90564,295453011575.5836,388341930802.51807,4470
2009,200909,18,961749.00445,77500.081,520544628555.02234,341784272445.27264,4490
2009,200909,19,1371410.26984,410026.5879,1923554010626.1282,1713080702328.4382,4310
2009,200909,20,2510983.54331,917670.51305,13078580971836.648,20264116127367.742,4490
2009,200909,21,2328518.63435,675949.60101,23806799020657.12,11029162381803.926,5450
2009,200909,22,142442.51799999998,171503.85038,173959064463.8601,430353371052.7619,3500
2009,200909,23,128342.11626000001,37055.2744,50268190471.748245,9379200140.12121,3450
2009,200909,24,1668227.71252,219322.61319,2622500564151.716,473891459099.683,4540
2009,200909,25,2095260.20157,119126.47674,1162510559285.4377,102649513651.85359,3840
2009,200909,26,255990.9547,205249.33361,68291903691.74973,4990138140312.933,3380
2009,200909,27,44120.97397,137216.58174,35799574852.27603,1251752334792.043,2860
2009,200909,28,5196.4454399999995,14345.04183,1054624374.6784662,7528571943.197384,2150
2010,201006,1,0,14251.97586,0,6059232035.228715,1200
2010,201006,2,0,8432.07721,0,4368820067.847179,1440
2010,201006,3,0,15591.390309999999,0,5115867036.238997,1740
2010,201006,4,8652.94688,21065.932080000002,24935910116.603592,33669595645.58383,2020
2010,201006,5,12488.72447,87609.10987,23074210890.450146,228478020898.64767,2430
2010,201006,6,219871.3233,89885.2555,983594794269.4806,282267753090.1003,2520
2010,201006,7,209153.90908,166610.98198,736192497464.2003,528558601052.07306,2900
2010,201006,8,113238.47435,55835.16122,74564899276.80612,48611611955.86109,3700
2010,201006,9,156784.78699,203150.31527,278532695866.5079,2763390172776.325,3720
2010,201006,10,24621.22011,43175.46032,9686678540.597755,19911836204.34587,4360
2010,201006,11,73657.0347,19281.6003,21853561696.622578,4295466401.26278,3670
2010,201006,12,40500.849050000004,33262.28172,13829694949.888626,15257334868.75752,3150
2010,201006,13,522354.52902,200869.06011,602795490212.952,1079338469493.7195,2770
2010,201006,14,220096.17996,390501.99455,3433288032457.6816,3527033043468.8784,3210
2010,201006,15,49695.38431,143924.45479,23008216827.459496,666150379529.46,3030
2010,201006,16,377332.84306,134431.35237,640366272647.4701,305283129072.77234,4310
2010,201006,17,642231.00987,260585.81654,1471742830357.8882,1087006275013.8423,4540
2010,201006,18,486218.86015,352282.75927,1052914986934.4615,1267985036504.865,4380
2010,201006,19,343182.67613000004,203196.38207,290732684099.3754,507391118223.9059,4280
2010,201006,20,2057777.68658,505282.6879,4253065776235.3584,2755141790040.8833,5300
2010,201006,21,1511536.89325,432011.60811,596286525104.0696,18692768702374.47,5350
2010,201006,22,1806063.75318,87909.90765,98707454649.16154,123346359175.62997,3640
2010,201006,23,2255937.71943,63389.07233,344664490106.8054,42637801625.97446,3460
2010,201006,24,4622440.42406,99338.02464,1633789526361.1672,153651406767.5588,4140
2010,201006,25,6897453.9369,158863.28488,8352008870171.826,550584423984.7922,3570
2010,201006,26,4682481.23602,111205.89732,1158783435421.3237,155280820194.1164,3180
2010,201006,27,3256951.92439,137131.66773,2485421066269.703,356357889470.8398,2690
2010,201006,28,0,12075.29694,0,21238110573.393337,820
2012,201207,1,0,58795.939979999996,0,430652425545.18604,1730
2012,201207,2,0,64427.99057,0,97369647979.88908,2040
2012,201207,3,38212.545809999996,227559.86449,165658701714.4241,928976452706.8579,2430
2012,201207,4,182057.1436,177476.15659,415538878671.8327,441139360053.875,2510
2012,201207,5,97151.16536,216178.7456,492063091170.468,1125639626091.2825,2630
2012,201207,6,408035.49536,262749.72331,720917449512.6854,755095106812.9658,3730
2012,201207,7,490436.53545,212016.9521,633185183412.1777,853445427465.052,3650
2012,201207,8,344221.22819,166012.02312,564488838858.595,577575418487.4379,4350
2012,201207,9,132430.20571,147488.88824,74463053118.98683,362822354338.3923,3940
2012,201207,10,246975.40905,138193.5677,1287347824468.939,704745500491.1487,3990
2012,201207,11,284399.4146,237653.2151,141808150063.04227,1036525668037.2811,3430
2012,201207,12,181119.63353,443199.02132,472362873770.69464,3303097716252.4263,3430
2012,201207,13,255256.53083,433608.57936,674991971597.9705,1672655669588.1033,2950
2012,201207,14,467552.82839,254664.91612,431403205728.6421,288057592353.0793,4560
