Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2008,0.014094157,0.054279565,0.22928535,0.427276881,0.529998373,0.643420241,0.756664467,0.857774606,0.91936506,1.059508689,1.204851527,1.186559968,1.344206973,1.505740529,1.534275274
2009,0.010376478,0.113182122,0.22155185,0.411230758,0.563214293,0.686879284,0.84501317,0.915263176,0.956244121,1.16628775,1.16505241,1.431930762,1.430776927,1.529248434,1.761036357
2010,0.018466123,0.078232404,0.244354571,0.4027184,0.541105817,0.669874509,0.8933253,0.978148202,1.015991923,1.113304552,1.145580079,1.25887292,1.42428475,1.526776814,1.934781034
2011,0.014640918,0.112349416,0.233275883,0.425946504,0.548479995,0.640717298,0.794541018,0.995259834,1.09421236,1.140071058,1.229364446,1.279440978,1.399569135,1.446563485,1.617166894
2012,0.013375986,0.079705948,0.206783152,0.361043331,0.535479056,0.662714892,0.794216647,0.915873717,1.190771037,1.216321331,1.271804511,1.318075566,1.40640952,1.642407962,1.898995889
2013,0.017066309,0.06862558,0.225205387,0.423763032,0.49225945,0.617416583,0.823676879,0.970024042,1.079252287,1.212366721,1.28790702,1.334696599,1.450174793,1.602957974,1.707280209
2014,0.016262659,0.100495194,0.219225322,0.359779996,0.476642416,0.601353251,0.653130277,0.880670257,0.966110461,1.105464114,1.288349495,1.30099061,1.35563472,1.454922533,1.623502538
2015,0.019334679,0.092677248,0.288273618,0.391657484,0.517743591,0.595091147,0.717680482,0.802753698,1.037410968,1.068790319,1.304994392,1.57471401,1.343204782,1.556839146,1.75562709
2016,0.022516319,0.083460929,0.241921837,0.434082258,0.507849995,0.603488265,0.6897681,0.774718989,0.837225941,0.915688442,1.062030931,0.968185147,1.333656715,1.577354939,1.583655261
2017,0.021695848,0.098126926,0.198306373,0.398275248,0.527987789,0.595204387,0.685967599,0.736540379,0.818095286,0.819148452,0.947346988,0.815786201,1.182831599,1.319474816,1.57842663
2018,0.020371863,0.072853995,0.206184551,0.374389232,0.495020775,0.602693838,0.696799029,0.74444716,0.839313769,0.877787425,0.959051812,0.935130487,1.017570394,1.069069854,1.120569314
