"VESSEL","HAUL","CRUISE","HAUL_DATE","LAT","LON","VESSEL_TYPE","DUR","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","OFFICIAL_TOTAL_CATCH","POLLWT","POLLNO","SABLWT","SABLNO","HERRWT","HERRNO","CHIN","CHUM","DEPLOYMENT_DATE","DEPLOYMENT_LATITUDE","DEPLOYMENT_LONGITUDE_CONVERTED","CDQ_CODE","NMFS_AREA","PERFORMANCE"
"A255",61,24756,2021-02-09,55.883335,-163.15,2,5.29166666666667,37,47,60.36,59333.22,81267,NA,NA,NA,NA,NA,NA,2021-02-09 20:41:00,5552,16309,NA,509,1
"A255",81,24756,2021-02-12,56.366665,-162.575,2,7.16666666666667,33,43,58.02,56690.8,71732,NA,NA,NA,NA,NA,NA,2021-02-12 16:41:00,5621,16240,NA,516,1
"A282",23,24733,2021-02-01,56.115835,-163.96833,1,11.4583333333333,37,47,120.22,117754.99,129401,NA,NA,NA,NA,NA,NA,2021-02-01 06:10:00,5608,16356,"C54",509,1
"A255",102,24756,2021-02-17,55.54167,-164.033335,2,5.20833333333333,40,50,59.76,57475.88,78116,NA,NA,NA,NA,NA,NA,2021-02-17 09:30:00,5534,16400,NA,509,1
"A167",1,24615,2021-02-12,55.105835,-164.884165,3,15.8333333333333,55,57,108.9,96875.63,200784,NA,NA,NA,NA,NA,NA,2021-02-11 21:00:00,5507,16450,NA,509,1
"A282",30,24733,2021-02-03,55.766665,-164.194165,1,12.9166666666667,39,49,132.21,128070.28,188376,NA,NA,NA,NA,NA,NA,2021-02-03 04:15:00,5542,16412,NA,509,1
"A282",48,24733,2021-02-11,56.335,-163.8025,1,17.2916666666667,35,45,163.15,155163.94,231580,NA,NA,NA,NA,NA,NA,2021-02-10 18:20:00,5620,16348,NA,509,1
"A282",84,24733,2021-02-24,55.733335,-163.9075,1,11.0416666666667,39,49,187.06,175489.15,243695,NA,NA,NA,NA,7,NA,2021-02-24 12:20:00,5543,16352,"C54",509,1
"A045",29,24751,2021-02-03,55.66333,-164.20833,1,2.5,38,50,104.06,102240.39,129429,NA,NA,NA,NA,NA,NA,2021-02-02 23:25:00,5540,16416,NA,509,1
"A045",39,24751,2021-02-08,55.4,-164.401665,1,11.25,41,54,64.4,54236.13,71173,NA,NA,NA,NA,11,NA,2021-02-08 04:50:00,5520,16417,NA,509,1
"A282",1,24733,2021-01-25,55.385,-164.38917,1,1.25,43,53,153.59,153120.86,246971,NA,NA,NA,NA,3,NA,2021-01-25 11:25:00,5522,16423,"C54",509,1
"A091",41,24734,2021-02-08,55.9175,-163.539165,1,17.5416666666667,35,47,113.66,96534.36,134138,NA,NA,NA,NA,NA,NA,2021-02-07 19:04:00,5558,16331,NA,509,1
"A091",97,24734,2021-02-23,55.775,-163.449165,1,7.91666666666667,35,47,168.77,164934.35,235624,NA,NA,NA,NA,NA,NA,2021-02-23 06:56:00,5551,16323,NA,509,1
"A136",6,24710,2021-01-26,55.5725,-164.62917,1,4.875,39,52,137.65,133560.93,169059,NA,NA,NA,NA,4,NA,2021-01-26 18:47:00,5531,16439,"C55",509,1
"A136",9,24710,2021-01-27,55.755835,-164.875835,1,8.25,37,51,135.64,134295.06,197490,NA,NA,NA,NA,10,NA,2021-01-27 14:01:00,5543,16449,NA,509,1
"78139",21,24603,2021-02-21,55.36667,-164.66667,3,28.5416666666667,40,54,160,153388.43,307805,NA,NA,NA,NA,NA,NA,2021-02-20 23:00:00,5525,16443,NA,509,1
"A074",83,24767,2021-02-21,56.334165,-163.061665,1,7.58333333333333,33,43,93.38,90279.42,102591,NA,NA,NA,NA,3,NA,2021-02-21 08:10:00,5620,16304,"C56",509,1
"A115",137,24712,2021-02-28,55.906665,-162.948335,1,3.95833333333333,30,42,169.57,167385.44,220245,NA,NA,NA,NA,NA,NA,2021-02-28 17:00:00,5555,16255,NA,516,1
"A102",1,24772,2021-02-15,56.5275,-162.394165,3,1.04166666666667,28,40,10,5690.46,6671,NA,NA,NA,NA,NA,NA,2021-02-15 10:10:00,5630,16224,NA,516,5
"A262",65,24700,2021-02-15,56.275,-162.31667,1,10.4166666666667,32,43,182.47,176311.32,226038,NA,NA,NA,NA,NA,NA,2021-02-14 23:15:00,5620,16216,NA,516,1
"A574",11,24638,2021-02-05,55.366665,-164.591665,3,3.95833333333333,45,57,20,17747.59,26938,NA,NA,NA,NA,NA,NA,2021-02-05 10:11:00,5524,16436,NA,509,1
"A115",14,24712,2021-01-27,55.640835,-164.810835,1,5.875,32,54,175.59,172448.84,223959,NA,NA,NA,NA,5,NA,2021-01-27 03:55:00,5533,16449,NA,509,2
"A238",4,24727,2021-02-08,55.166665,-164.833335,3,4.45833333333333,49,59,140,140000,214741,NA,NA,NA,NA,NA,NA,2021-02-08 09:15:00,5508,16452,NA,509,1
"A115",10,24712,2021-01-26,55.54917,-164.645835,1,8.25,36,54,153.34,147950.44,194668,NA,NA,NA,NA,28,NA,2021-01-26 07:25:00,5533,16436,NA,509,1
"A054",34,24706,2021-02-06,55.608335,-163.78333,1,2.83333333333333,38,48,137.76,136520.07,175027,NA,NA,NA,NA,3,NA,2021-02-06 09:12:00,5537,16350,"C52",509,1
"A069",10,24730,2021-01-27,55.79,-164.8525,1,8.83333333333333,45,52,99.83,97830.61,148225,NA,NA,NA,NA,3,NA,2021-01-27 13:45:00,5546,16443,NA,509,1
"A069",39,24730,2021-02-05,55.7075,-165.095,1,2.41666666666667,45,54,114.9,111287.95,300750,NA,NA,2.42,7,NA,NA,2021-02-05 13:21:00,5540,16506,"C52",517,1
"A054",79,24706,2021-02-22,55.775,-163.20833,1,7.5,34,44,109.52,104782.52,146944,NA,NA,NA,NA,5,NA,2021-02-22 14:30:00,5550,16308,"C52",509,1
"A080",27,24719,2021-02-02,55.868335,-165.0225,1,14.875,41,50,104.31,98878.46,149810,NA,NA,NA,NA,NA,NA,2021-02-02 06:18:00,5554,16501,NA,517,1
"A080",33,24719,2021-02-04,55.53917,-164.64083,1,10.4166666666667,43,52,167.4,162905.75,239569,NA,NA,NA,NA,6,NA,2021-02-04 00:15:00,5534,16440,NA,509,1
"A080",4,24719,2021-01-25,55.2875,-164.465835,1,2.33333333333333,46,51,117.82,114652.61,124622,NA,NA,NA,NA,3,NA,2021-01-25 00:41:00,5515,16430,NA,509,1
"A255",74,24756,2021-02-11,56.083335,-162.85,2,6.25,33,43,52.42,51341.58,71304,NA,NA,NA,NA,NA,NA,2021-02-11 17:50:00,5604,16249,NA,516,1
"A255",88,24756,2021-02-15,55.383335,-163.825,2,10.3333333333333,34,43,55.76,50951.19,70048,NA,NA,NA,NA,NA,NA,2021-02-15 18:07:00,5522,16351,NA,509,1
"A225",26,24750,2021-02-24,55.589165,-163.6625,1,7.29166666666667,35,45,87.72,80595.09,106045,NA,NA,NA,NA,NA,NA,2021-02-24 10:00:00,5534,16337,NA,509,1
"A225",6,24750,2021-02-19,55.288335,-164.309165,1,6.45833333333333,39,51,82.27,73157.95,95019,NA,NA,NA,NA,NA,NA,2021-02-19 01:40:00,5515,16419,NA,509,1
"A225",18,24750,2021-02-22,55.43,-164.81083,1,12.0833333333333,42,55,66.32,63022.67,126035,NA,NA,0.43,3,NA,NA,2021-02-22 03:00:00,5522,16440,NA,509,1
"A045",41,24751,2021-02-08,56.03167,-163.23,1,3.625,34,46,101.45,100257.38,120793,NA,NA,0.45,3,6,NA,2021-02-08 15:37:00,5602,16315,"C51",509,1
"A359",1,24636,2021-01-23,55.219165,-164.288055,3,2.33333333333333,26,37,180,180000,159828,NA,NA,NA,NA,NA,NA,2021-01-23 12:58:00,5512,16419,NA,509,1
"A041",10,24714,2021-01-27,55.70083,-164.88167,1,2.08333333333333,40,52,148.69,147272.63,199016,NA,NA,NA,NA,NA,NA,2021-01-27 20:45:00,5543,16449,"C56",509,1
"A041",28,24714,2021-02-02,55.671665,-164.256665,1,6.875,36,49,168.62,167598.46,239391,NA,NA,NA,NA,NA,NA,2021-02-02 20:00:00,5540,16414,"C56",509,1
"A091",42,24734,2021-02-08,55.868335,-163.44167,1,9.29166666666667,35,47,135.22,129481.84,172653,NA,NA,NA,NA,7,NA,2021-02-08 02:45:00,5552,16330,NA,509,1
"A091",47,24734,2021-02-09,56.105835,-163.568335,1,7.125,35,47,180.19,177084.62,245950,NA,NA,NA,NA,5,NA,2021-02-09 07:17:00,5603,16332,NA,509,1
"A041",37,24714,2021-02-05,55.240835,-164.61417,1,21,40,50,148.83,126432.53,176238,NA,NA,NA,NA,NA,4,2021-02-05 07:06:00,5518,16445,NA,509,1
"A136",89,24710,2021-02-24,55.74583,-163.705835,1,11,36,48,155.26,141764.02,208468,NA,NA,NA,NA,NA,NA,2021-02-24 00:11:00,5548,16340,NA,509,1
"A262",16,24700,2021-01-28,55.61667,-164.916665,1,17.8333333333333,40,54,105.15,100850.97,168084,NA,NA,NA,NA,NA,NA,2021-01-27 22:50:00,5537,16451,NA,509,1
"A262",94,24700,2021-02-25,55.8,-164.25833,1,5.625,41,49,161.59,160014.01,242446,NA,NA,NA,NA,NA,NA,2021-02-25 09:00:00,5549,16408,NA,509,1
"A262",82,24700,2021-02-20,56.51667,-163.05,1,12.9166666666667,25,40,157.02,134177.53,188950,NA,NA,NA,NA,NA,NA,2021-02-19 22:20:00,5631,16304,NA,509,1
"A317",18,24703,2021-02-23,56.4425,-168.43,3,16.9166666666667,55,65,200,199667.77,282392,NA,NA,332.23,1329,NA,NA,2021-02-23 03:12:00,5626,16823,NA,517,1
"A317",7,24703,2021-02-04,55.046665,-164.865,3,14.625,45,55,210,205896.55,219655,NA,NA,NA,NA,NA,NA,2021-02-04 16:40:00,5500,16455,NA,509,1
"A007",7,24695,2021-02-27,55.714585,-163.15889,3,7.20833333333333,34,42,110,106015.27,139573,NA,NA,NA,NA,NA,NA,2021-02-27 13:14:00,5539,16315,NA,509,1
"A115",28,24712,2021-01-30,55.779165,-164.375,1,6.875,38,50,148.76,142355.68,197718,NA,NA,NA,NA,NA,NA,2021-01-30 16:40:00,5545,16420,NA,509,1
"A115",34,24712,2021-01-31,56.005,-164.61417,1,10,32,49,179.25,175343.71,236945,NA,NA,NA,NA,NA,NA,2021-01-31 18:35:00,5558,16439,NA,509,1
"A039",7,24697,2021-01-27,55.275,-164.641665,2,3.83333333333333,46,56,59.75,59449.45,185773,NA,NA,0.64,3,3,NA,2021-01-27 02:25:00,5515,16435,NA,509,1
"A238",10,24727,2021-02-23,55.691665,-163.525,3,15.4166666666667,32,42,130,126772.01,165801,NA,NA,NA,NA,NA,NA,2021-02-23 02:00:00,5538,16333,NA,509,2
"A254",18,24602,2021-02-16,55.405,-164.09917,3,6.20833333333333,40,50,240,234676.52,392606,NA,NA,NA,NA,NA,NA,2021-02-16 13:11:00,5524,16403,NA,509,1
"A054",42,24706,2021-02-08,55.925,-163.308335,1,3.16666666666667,34,46,106.05,102834.31,137116,NA,NA,NA,NA,NA,NA,2021-02-08 05:44:00,5556,16315,NA,509,1
"A069",19,24730,2021-01-30,55.768335,-164.016665,1,4.5,38,48,108.44,106534.96,142048,NA,NA,NA,NA,NA,NA,2021-01-29 22:54:00,5546,16403,NA,509,1
"A054",63,24706,2021-02-18,55.608335,-164.31667,1,3.125,39,49,104.33,97450.08,133172,NA,NA,NA,NA,NA,NA,2021-02-18 10:25:00,5539,16419,"C52",509,1
"A069",88,24730,2021-02-20,55.73833,-164.780835,1,13.5416666666667,42,52,108.68,102802.39,193976,NA,NA,NA,NA,NA,NA,2021-02-20 05:10:00,5540,16451,NA,509,1
"A080",28,24719,2021-02-02,55.7075,-164.88,1,13.25,44,51,131.46,125118.86,186739,NA,NA,NA,NA,NA,NA,2021-02-02 14:30:00,5543,16452,NA,509,1
"A291",132,24753,2021-02-23,55.6625,-163.39333,2,17.0833333333333,34,44,57.6,55173.31,68965,NA,NA,NA,NA,NA,NA,2021-02-23 02:50:00,5538,16320,NA,509,1
"A255",142,24756,2021-02-24,55.65,-163.783335,2,5.20833333333333,39,49,60.39,59937.19,84427,NA,NA,NA,NA,NA,NA,2021-02-24 10:00:00,5539,16342,NA,509,1
"A255",66,24756,2021-02-10,55.979165,-163.04417,2,3.875,35,47,54.26,53766.8,68054,NA,NA,NA,NA,NA,NA,2021-02-10 12:11:00,5559,16258,NA,509,1
"A255",92,24756,2021-02-16,55.458335,-163.733335,2,9.08333333333333,33,43,52.35,48700.54,65091,NA,NA,NA,NA,NA,NA,2021-02-16 04:08:00,5525,16346,NA,509,1
"A282",20,24733,2021-01-31,56.1725,-163.663335,1,14.375,37,47,105.83,92010.09,106583,NA,NA,NA,NA,3,NA,2021-01-31 12:15:00,5609,16333,"C54",509,1
"A282",61,24733,2021-02-14,56.35667,-162.27167,1,17.5,29,38,175.81,172955.16,221738,NA,NA,NA,NA,NA,NA,2021-02-14 15:10:00,5625,16211,"C54",516,2
"A225",16,24750,2021-02-21,55.38417,-164.774165,1,2.5,43,55,66.92,64957.7,120300,NA,NA,NA,NA,NA,NA,2021-02-21 15:40:00,5522,16444,NA,509,2
"A045",24,24751,2021-02-01,55.991665,-164.94917,1,6.79166666666667,37,51,102.02,100471.39,145611,NA,NA,NA,NA,NA,NA,2021-02-01 17:27:00,5604,16453,NA,517,1
"A093",2,24629,2021-01-22,55.25583,-164.186665,3,5,26,40,105,98500,136667,NA,NA,333.33,1667,NA,NA,2021-01-22 10:54:00,5516,16407,NA,509,1
"A359",7,24636,2021-02-01,55.33611,-164.48375,3,16.9166666666667,40,53,130,126684.64,135310,NA,NA,NA,NA,NA,NA,2021-01-31 21:47:00,5519,16439,NA,509,1
"A115",97,24712,2021-02-20,56.4875,-163.0275,1,5.58333333333333,22,42,148.98,147267.05,277859,NA,NA,NA,NA,4,NA,2021-02-20 07:31:00,5630,16300,NA,509,2
"A041",25,24714,2021-02-02,55.520835,-164.20417,1,5.83333333333333,38,50,80.06,77373.9,113789,NA,NA,NA,NA,NA,NA,2021-02-02 04:35:00,5531,16407,NA,509,1
"78139",17,24603,2021-02-16,55.35,-164.183335,3,11.6666666666667,41,53,290,289788.29,481005,NA,NA,NA,NA,NA,NA,2021-02-16 13:00:00,5519,16413,NA,509,1
"A091",29,24734,2021-02-01,55.975,-164.895,1,14.9583333333333,37,49,134.18,129785.3,188087,NA,NA,NA,NA,3,NA,2021-02-01 13:37:00,5601,16444,NA,517,1
"A091",81,24734,2021-02-19,55.461665,-164.1875,1,1.04166666666667,40,52,129.12,128618.84,292321,NA,NA,0.71,3,NA,NA,2021-02-19 12:33:00,5527,16410,NA,509,1
"A136",7,24710,2021-01-27,55.6725,-164.709165,1,7.16666666666667,38,50,136.96,132675.61,179287,NA,NA,NA,NA,8,NA,2021-01-27 00:58:00,5538,16440,"C55",509,1
"A039",81,24769,2021-02-18,55.225,-164.341665,2,8.70833333333333,40,50,65.27,63071,82620,NA,NA,NA,NA,NA,NA,2021-02-18 19:38:00,5512,16423,NA,509,1
"A262",96,24700,2021-02-25,55.833335,-164.31667,1,10.4166666666667,41,49,190.77,186563.28,266525,NA,NA,NA,NA,NA,NA,2021-02-25 19:00:00,5552,16413,NA,509,1
"A317",1,24703,2021-01-30,55.3525,-164.21,3,14.5416666666667,40,50,190,177445.43,224189,NA,NA,NA,NA,NA,NA,2021-01-30 17:36:00,5525,16409,NA,509,1
"A262",83,24700,2021-02-20,56.491665,-163.033335,1,7.29166666666667,25,41,148.37,144335.26,212261,NA,NA,NA,NA,NA,NA,2021-02-20 04:00:00,5630,16301,NA,509,1
"A574",10,24638,2021-02-04,55.316665,-164.6,3,16.5,45,57,220,217227.95,294845,NA,NA,NA,NA,NA,NA,2021-02-04 16:30:00,5520,16432,NA,509,1
"A115",15,24712,2021-01-27,55.70417,-164.828335,1,6.66666666666667,31,53,185.18,182744.49,272758,NA,NA,NA,NA,4,NA,2021-01-27 09:00:00,5546,16443,NA,509,2
"A053",1,24765,2021-02-04,55.08653,-164.847635,3,10.4583333333333,46,56,125,116212.73,138020,NA,NA,NA,NA,NA,NA,2021-02-04 10:03:00,5504,16447,NA,509,1
"A039",14,24697,2021-01-31,55.349165,-164.136665,2,4.45833333333333,37,49,64.38,57383.53,76231,NA,NA,NA,NA,NA,NA,2021-01-31 00:51:00,5524,16402,NA,509,1
"A041",77,24714,2021-02-26,55.384165,-164.0475,1,8.20833333333333,37,47,146.61,133345.6,178696,NA,NA,NA,NA,6,NA,2021-02-26 02:43:00,5524,16356,NA,509,1
"A254",16,24602,2021-02-15,56.540835,-162.305835,3,6.25,29,39,30,26852.68,33482,NA,NA,NA,NA,NA,NA,2021-02-15 18:15:00,5632,16216,NA,516,1
"A054",23,24706,2021-02-03,55.725,-164.225,1,9.66666666666667,37,49,134.08,132171.63,203350,NA,NA,NA,NA,NA,NA,2021-02-03 04:28:00,5542,16410,NA,509,1
"A069",13,24730,2021-01-28,55.61917,-165.076665,1,5.375,45,57,113.82,112366.72,160524,NA,NA,NA,NA,6,NA,2021-01-28 05:11:00,5534,16500,NA,517,1
"A069",44,24730,2021-02-07,55.733335,-163.73917,1,5.41666666666667,40,50,103.9,101573.84,128573,NA,NA,NA,NA,NA,NA,2021-02-07 00:26:00,5544,16340,"C52",509,1
"A069",27,24730,2021-01-31,55.97833,-164.555835,1,4.625,41,49,102.31,99272.66,134148,NA,NA,NA,NA,NA,NA,2021-01-31 11:11:00,5559,16431,"C52",509,1
"A069",5,24730,2021-01-26,55.606665,-164.554165,1,4.45833333333333,44,53,106.43,102803.97,177258,NA,NA,NA,NA,3,NA,2021-01-26 11:08:00,5538,16430,NA,509,1
"A069",84,24730,2021-02-19,55.391665,-164.256665,1,8.58333333333333,43,51,114.29,107103.04,153013,NA,NA,NA,NA,NA,NA,2021-02-19 07:14:00,5521,16415,NA,509,1
"A069",85,24730,2021-02-19,55.484165,-164.15917,1,5.91666666666667,43,51,119.34,117306.88,286102,NA,NA,NA,NA,3,NA,2021-02-19 12:58:00,5528,16410,"C52",509,1
"A054",7,24706,2021-01-30,55.741665,-164.1,1,7.625,36,48,113.44,111220.06,139023,NA,NA,NA,NA,NA,NA,2021-01-30 03:42:00,5547,16402,NA,509,1
"A105",9,24761,2021-02-25,55.453335,-163.8425,1,1.04166666666667,36,46,80.93,79695.26,115968,NA,NA,NA,NA,NA,NA,2021-02-25 14:40:00,5526,16351,NA,509,1
"A291",151,24753,2021-02-25,55.73917,-164.3025,2,7.20833333333333,39,49,51.87,51270.03,76527,NA,NA,NA,NA,6,NA,2021-02-25 09:30:00,5540,16418,NA,509,1
"A291",63,24753,2021-02-06,55.4475,-164.160835,2,9.41666666666667,42,52,51.83,48726.71,72674,NA,NA,NA,NA,NA,NA,2021-02-06 15:05:00,5527,16408,NA,509,1
"A080",47,24719,2021-02-15,56.3875,-162.18417,1,13.2083333333333,32,40,131.3,124986.38,169039,NA,NA,NA,NA,NA,NA,2021-02-14 22:21:00,5628,16202,NA,516,1
"A291",112,24753,2021-02-15,56.37083,-162.130835,2,19.5416666666667,30,40,33.87,30895.8,41024,NA,NA,1.18,6,NA,NA,2021-02-14 19:04:00,5626,16203,NA,516,1
"A291",114,24753,2021-02-15,56.2725,-162.4125,2,24.125,29,39,39.7,37104.72,53019,NA,NA,NA,NA,NA,NA,2021-02-14 23:58:00,5614,16219,NA,516,1
"A291",36,24753,2021-02-03,55.62667,-164.4275,2,18.625,40,50,38.98,37056.19,52937,NA,NA,NA,NA,NA,NA,2021-02-03 07:50:00,5541,16420,NA,509,1
"A045",97,24751,2021-02-25,55.42417,-163.845,1,3.33333333333333,32,46,93.07,87509.39,108035,NA,NA,NA,NA,3,NA,2021-02-25 21:00:00,5525,16345,NA,509,1
"A255",129,24756,2021-02-21,55.76667,-164.858335,2,21.25,42,52,58.09,57037.16,107626,NA,NA,NA,NA,10,NA,2021-02-20 18:00:00,5546,16452,NA,509,1
"A255",78,24756,2021-02-12,56.225,-162.658335,2,7.29166666666667,34,44,59,56968.37,70507,NA,NA,0.64,5,NA,NA,2021-02-12 07:30:00,5615,16239,NA,516,1
"A282",14,24733,2021-01-30,56.01167,-163.30417,1,8.125,35,45,159.95,155421.37,182730,NA,NA,NA,NA,NA,NA,2021-01-30 03:25:00,5558,16315,"C54",509,1
"A282",68,24733,2021-02-16,56.80833,-162.68083,1,5,26,34,177.28,174063.67,226036,NA,NA,NA,NA,NA,NA,2021-02-16 12:45:00,5649,16235,"C54",516,1
"A255",9,24756,2021-01-31,55.325,-164.258335,2,7.08333333333333,41,51,59.13,57357.54,71696,NA,NA,NA,NA,NA,NA,2021-01-31 07:04:00,5522,16410,NA,509,1
"A225",36,24750,2021-02-27,55.563335,-163.50917,1,7.5,28,39,85.78,83900.2,104879,NA,NA,NA,NA,NA,NA,2021-02-27 11:45:00,5532,16332,"C51",509,1
"A282",2,24733,2021-01-25,55.41917,-164.439165,1,1.25,43,53,171.36,170242.87,261919,NA,NA,1.63,6,NA,NA,2021-01-25 16:30:00,5524,16425,"C54",509,1
